"Ad name","Ad set name",Age,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (GBP)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
,,,,11620,19211,1.65327022,Leads,18,12.58111111,226.46,,,11.7880381,170,1.33211765,0.88490969,2025-10-25,2025-11-02
"Short Video Women Peaceful Voice","New Leads ad set",45-54,active,2509,3504,1.39657234,Leads,4,11.31,45.24,2025-10-21,Ongoing,12.9109589,30,1.508,0.85616438,2025-10-25,2025-11-02
"Short Video Women Peaceful Voice","New Leads ad set",55-64,active,2170,2870,1.32258065,Leads,5,8.25,41.25,2025-10-21,Ongoing,14.3728223,30,1.375,1.04529617,2025-10-25,2025-11-02
"Short Video Women Peaceful Voice","New Leads ad set",35-44,active,2008,2614,1.30179283,Leads,2,13.635,27.27,2025-10-21,Ongoing,10.43228768,12,2.2725,0.45906656,2025-10-25,2025-11-02
"Short Video Women Peaceful Voice","New Leads ad set",65+,active,1119,1514,1.35299374,Leads,3,8.45666667,25.37,2025-10-21,Ongoing,16.75693527,26,0.97576923,1.71730515,2025-10-25,2025-11-02
"Legs Aching Anam & Faisal","New Leads ad set",65+,active,656,944,1.43902439,,,,9.98,2025-10-21,Ongoing,10.5720339,14,0.71285714,1.48305085,2025-10-25,2025-11-02
"Short Video Women Peaceful Voice","New Leads ad set",25-34,active,563,729,1.29484902,Leads,1,8.41,8.41,2025-10-21,Ongoing,11.53635117,3,2.80333333,0.41152263,2025-10-25,2025-11-02
"Legs Aching Anam & Faisal","New Leads ad set",55-64,active,600,856,1.42666667,,,,7,2025-10-21,Ongoing,8.17757009,8,0.875,0.93457944,2025-10-25,2025-11-02
"Dont Suffer women on treatment table","New Leads ad set",45-54,active,412,527,1.27912621,,,,5.92,2025-10-21,Ongoing,11.23339658,2,2.96,0.37950664,2025-10-25,2025-11-02
"DOnt let Varicose Veins Slow you down","New Leads ad set",65+,active,313,458,1.46325879,,,,5.79,2025-10-21,Ongoing,12.6419214,10,0.579,2.18340611,2025-10-25,2025-11-02
"Dont Suffer women on treatment table","New Leads ad set",35-44,active,347,435,1.25360231,,,,5.56,2025-10-21,Ongoing,12.7816092,3,1.85333333,0.68965517,2025-10-25,2025-11-02
"Dont Suffer women on treatment table","New Leads ad set",55-64,active,279,369,1.32258065,,,,5.29,2025-10-21,Ongoing,14.33604336,6,0.88166667,1.62601626,2025-10-25,2025-11-02
"Legs Aching Anam & Faisal","New Leads ad set",45-54,active,561,796,1.41889483,,,,4.75,2025-10-21,Ongoing,5.96733668,3,1.58333333,0.37688442,2025-10-25,2025-11-02
"DOnt let Varicose Veins Slow you down","New Leads ad set",55-64,active,293,456,1.55631399,Leads,1,4.48,4.48,2025-10-21,Ongoing,9.8245614,3,1.49333333,0.65789474,2025-10-25,2025-11-02
"DOnt let Varicose Veins Slow you down","New Leads ad set",45-54,active,287,458,1.59581882,Leads,1,4.01,4.01,2025-10-21,Ongoing,8.75545852,3,1.33666667,0.65502183,2025-10-25,2025-11-02
"Dont Suffer women on treatment table","New Leads ad set",65+,active,168,244,1.45238095,,,,3.86,2025-10-21,Ongoing,15.81967213,1,3.86,0.40983607,2025-10-25,2025-11-02
"Dont suffer women 2","New Leads ad set",65+,active,126,203,1.61111111,,,,3.31,2025-10-21,Ongoing,16.30541872,4,0.8275,1.97044335,2025-10-25,2025-11-02
"Dont suffer women 2","New Leads ad set",55-64,active,135,191,1.41481481,,,,3.23,2025-10-21,Ongoing,16.91099476,,,,2025-10-25,2025-11-02
"Legs Aching Anam & Faisal","New Leads ad set",35-44,active,362,502,1.38674033,,,,2.78,2025-10-21,Ongoing,5.53784861,1,2.78,0.19920319,2025-10-25,2025-11-02
"Dont suffer women 2","New Leads ad set",45-54,active,158,241,1.52531646,,,,2.67,2025-10-21,Ongoing,11.07883817,,,,2025-10-25,2025-11-02
"DOnt let Varicose Veins Slow you down","New Leads ad set",35-44,active,250,423,1.692,Leads,1,2.53,2.53,2025-10-21,Ongoing,5.98108747,3,0.84333333,0.70921986,2025-10-25,2025-11-02
"Dont suffer women 2","New Leads ad set",35-44,active,109,161,1.47706422,,,,2.08,2025-10-21,Ongoing,12.91925466,1,2.08,0.62111801,2025-10-25,2025-11-02
"Legs Aching Anam & Faisal","New Leads ad set",25-34,active,144,200,1.38888889,,,,1.51,2025-10-21,Ongoing,7.55,4,0.3775,2,2025-10-25,2025-11-02
"DOnt let Varicose Veins Slow you down","New Leads ad set",25-34,active,103,150,1.45631068,,,,1.19,2025-10-21,Ongoing,7.93333333,1,1.19,0.66666667,2025-10-25,2025-11-02
"Short Video Women Peaceful Voice","New Leads ad set",18-24,active,62,86,1.38709677,,,,0.94,2025-10-21,Ongoing,10.93023256,,,,2025-10-25,2025-11-02
"Dont Suffer women on treatment table","New Leads ad set",25-34,active,92,121,1.31521739,,,,0.82,2025-10-21,Ongoing,6.7768595,1,0.82,0.82644628,2025-10-25,2025-11-02
"Dont suffer women 2","New Leads ad set",25-34,active,41,66,1.6097561,,,,0.61,2025-10-21,Ongoing,9.24242424,1,0.61,1.51515152,2025-10-25,2025-11-02
"Dont Suffer women on treatment table","New Leads ad set",18-24,active,10,17,1.7,,,,0.15,2025-10-21,Ongoing,8.82352941,,,,2025-10-25,2025-11-02
"Cambridge Consultations","New Leads ad set",45-54,active,13,15,1.15384615,,,,0.14,2025-10-21,Ongoing,9.33333333,,,,2025-10-25,2025-11-02
"Cambridge Consultations","New Leads ad set",65+,active,7,7,1,,,,0.09,2025-10-21,Ongoing,12.85714286,,,,2025-10-25,2025-11-02
